순번,사업장명,인허가일자,영업상태명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,업태구분명,위생업태명,업데이트
1,뎅주,2018-01-08,영업/정상,010-8295-8854,경상남도 거제시 아주동 1701-3 1층,"경상남도 거제시 아주1로1길 15, 1층 (아주동)",53305,정종/대포집/소주방,정종/대포집/소주방
2,숑숑돈까스 거제중곡점,2018-01-10,영업/정상,055-950-6562,경상남도 거제시 고현동 988-9 1층,"경상남도 거제시 중곡로7길 5, 1층 (고현동)",53245,분식,분식
3,낭만식당,2018-01-10,영업/정상,055-681-0528,경상남도 거제시 능포동 612-73 1층,"경상남도 거제시 옥수로10길 31, 1층 (능포동)",53316,한식,한식
4,부엉이산장,2018-01-16,영업/정상,0507-1374-6013,경상남도 거제시 아주동 1688-3 1층,"경상남도 거제시 아주1로2길 37, 1층 (아주동)",53305,정종/대포집/소주방,정종/대포집/소주방
5,행복국수집,2018-01-17,영업/정상,0507-1376-8285,경상남도 거제시 일운면 지세포리 771-1,"경상남도 거제시 일운면 지세포로 114, 1층",53328,분식,분식
6,웍,2018-01-19,영업/정상,055-682-1129,경상남도 거제시 아주동 1678-21,"경상남도 거제시 아주1로2길 82, 1층 (아주동)",53308,중국식,중국식
7,바람의핫도그 본점,2018-01-23,영업/정상,0507-1437-1169,경상남도 거제시 남부면 다대리 424,"경상남도 거제시 남부면 다대5길 13, 1층",53334,분식,분식
8,화연중화요리,2018-01-26,영업/정상,055-681-1117,경상남도 거제시 일운면 소동리 423-7 1층,"경상남도 거제시 일운면 소동3길 2, 1층",53326,중국식,중국식
9,피자스쿨(거제고현점),2018-01-26,영업/정상,055-633-8595,"경남 거제시 고현동 988-9, 1층","경남 거제시 중곡로7길 5, 1층",53251,기타,기타
10,청도집,2018-02-01,영업/정상,0507-1394-0139,경상남도 거제시 고현동 1014-3 1층,"경상남도 거제시 중곡로1길 8-1, 1층 (고현동)",53249,횟집,횟집
11,엄선장짬뽕,2018-02-01,영업/정상,0507-1309-4470,경상남도 거제시 남부면 저구리 491,"경상남도 거제시 남부면 근포1길 57-4, 1층",53333,중국식,중국식
12,만나고쪽갈비 수월점,2018-02-12,영업/정상,055-638-4894,경상남도 거제시 양정동 877-3번지,"경상남도 거제시 제산로3안길 1, 1층 (양정동)",53241,한식,한식
13,정대감숯불장어,2018-02-12,영업/정상,055-687-8862,경상남도 거제시 옥포동 610-2,"경상남도 거제시 옥포로6길 43, 1층 (옥포동)",53231,한식,한식
14,미자반점,2018-02-19,영업/정상,055-634-3331,경상남도 거제시 장평동 346 1층,"경상남도 거제시 장평3로7길 38-1, 1층 (장평동)",53263,식육(숯불구이),식육(숯불구이)
15,대가민박식당,,영업/정상,055-635-8603,경상남도 거제시 장목면 시방리 142-1번지,"경상남도 거제시 장목면 이수도길 31-3, 1층",53202,한식,한식
16,소오비 두부집,2018-02-21,영업/정상,0507-1326-1190,경상남도 거제시 연초면 오비리 1166-12,"경상남도 거제시 연초면 소오비길 43, 1층",53208,한식,한식
17,쌍둥이국밥,2018-02-22,영업/정상,055-637-6063,경상남도 거제시 고현동 750-8 1층,"경상남도 거제시 고현로2길 16-1, 1층 (고현동)",53254,한식,한식
18,그리다제주,2018-02-26,영업/정상,055-682-1135,경상남도 거제시 아주동 1700-22 1층,"경상남도 거제시 아주1로1길 20, 1층 (아주동)",53305,식육(숯불구이),식육(숯불구이)
19,종로얼큰이,2018-03-05,영업/정상,055-635-5999,경상남도 거제시 고현동 453-2번지 1층 102호,"경상남도 거제시 거제중앙로9길 19, 1층 102호 (고현동)",53258,한식,한식
20,오리지날충무김밥,2018-03-06,영업/정상,055-681-4424,경상남도 거제시 장승포동 537-10번지,"경상남도 거제시 장승로 97, 1층 (장승포동)",53322,김밥(도시락),김밥(도시락)
21,곤트란쉐리에 거제카페,2018-03-07,영업/정상,055-687-7824,경상남도 거제시 옥포동 554-24 1~2층,"경상남도 거제시 옥포로5길 2, 1~2층 (옥포동)",53233,기타,기타
22,꽃담,2018-03-08,영업/정상,055-687-6713,경상남도 거제시 수월동 255-2번지 1층,"경상남도 거제시 수양2길 22, 1층 (수월동)",53240,한식,한식
23,커피타임,2018-03-08,영업/정상,,경상남도 거제시 동부면 학동리 594,"경상남도 거제시 동부면 학동6길 46, 1층",53332,기타,기타
24,용산 생선구이&흑염소,2018-03-08,영업/정상,055-637-0392,경상남도 거제시 상동동 194-11,"경상남도 거제시 상동3길 24-17, 1층 (상동동)",53294,한식,한식
25,둔덕 숯불갈비,2018-03-09,영업/정상,,경상남도 거제시 둔덕면 하둔리 452-51,"경상남도 거제시 둔덕면 거제남서로 4585, 1층",53281,식육(숯불구이),식육(숯불구이)
26,빈스커피,2018-03-09,영업/정상,0507-1335-0345,경상남도 거제시 덕포동 60-1,"경상남도 거제시 덕포5길 41, 주1동 1층 (덕포동)",53213,기타,기타
27,어담,2018-03-09,영업/정상,055-636-8292,경상남도 거제시 장목면 송진포리 61-1,"경상남도 거제시 장목면 거제북로 2598, 1층",53200,한식,한식
28,정든식당,2018-03-13,영업/정상,055-688-2830,경상남도 거제시 옥포동 524-20,"경상남도 거제시 옥포로20길 9, 1층 (옥포동)",53222,한식,한식
29,촌놈족발,2018-03-20,영업/정상,055-635-0052,경상남도 거제시 고현동 176-4,"경상남도 거제시 거제중앙로 1829, 1층 (고현동)",53258,한식,한식
30,천안문,2018-03-21,영업/정상,055-633-7425,경상남도 거제시 사등면 덕호리 139-10 1층,"경상남도 거제시 사등면 거제남서로 5350, 1층",53274,중국식,중국식
31,금가찜닭 거제점,2018-03-23,영업/정상,055-633-6222,경상남도 거제시 수월동 1092-12번지 1층,"경상남도 거제시 수양로 440-6, 1층 (수월동)",53237,식육(숯불구이),식육(숯불구이)
32,청년분식 거제사곡점,2018-03-26,영업/정상,055-637-1254,경상남도 거제시 사등면 사곡리 832-9 사곡영진자이온2단지 상가213동 201호,"경상남도 거제시 사등면 두동로 54-40, 상가213동 2층 201호 (사곡영진자이온2단지)",53278,분식,분식
33,희야네,2018-03-28,영업/정상,0507-1371-9286,경상남도 거제시 옥포동 521-2 영진한솔빌라 101일부호,"경상남도 거제시 옥포로22길 50, 1층 101(일부)호 (옥포동, 영진한솔빌라)",53221,한식,한식
34,두끼떡볶이 홈플러스거제점,2018-04-02,영업/정상,055-634-1550,경상남도 거제시 장평동 1211 홈플러스거제점,"경상남도 거제시 장평로 12, 홈플러스거제점 지하1층 (장평동)",53267,분식,분식
35,따르릉반점,2018-04-03,영업/정상,0504-0544-1597,경상남도 거제시 고현동 685-3번지,"경상남도 거제시 고현로2길 15-1, 1층 (고현동)",53254,중국식,중국식
36,청춘육개장,2018-04-03,영업/정상,0507-1391-5729,경상남도 거제시 아주동 1698-5 1층,"경상남도 거제시 아주1로1길 27, 1층 (아주동)",53305,한식,한식
37,우야꼬불닭발,2018-04-04,영업/정상,055-638-0414,경상남도 거제시 상동동 926-10,"경상남도 거제시 상동5길 99, 1층 (상동동)",53292,한식,한식
38,비에이치씨(BHC)거제상문점,2018-04-09,영업/정상,0507-1354-9314,경상남도 거제시 상동동 1077 거제 더샵 블루시티,"경상남도 거제시 상동5길 100, 118동 1층 107호 (상동동, 거제 더샵 블루시티)",53292,호프/통닭,호프/통닭
39,용우동 수월점,2018-04-09,영업/정상,055-637-3303,경상남도 거제시 수월동 1120-9,"경상남도 거제시 수양로 454-4, 대안빌딩 1층 101호 (수월동)",53237,분식,분식
40,점순이네밥집,2018-04-11,영업/정상,0507-1311-1484,경상남도 거제시 장목면 외포리 200-2 1층,"경상남도 거제시 장목면 옥포대첩로 930, 1층",53202,한식,한식
41,헬로베트남쌀국수 옥포점,2018-04-12,영업/정상,0507-1372-3427,경상남도 거제시 옥포동 1965,"경상남도 거제시 옥포로4길 9-1, 1층 (옥포동)",53231,"외국음식전문점(인도,태국등)","외국음식전문점(인도,태국등)"
42,처갓집양념치킨 상동점,2018-04-16,영업/정상,055-635-9290,경상남도 거제시 상동동 474-10,"경상남도 거제시 거제중앙로3길 14-2, 1층 (상동동)",53287,호프/통닭,호프/통닭
43,공씨네복생고기,2018-04-19,영업/정상,0507-1324-7971,경상남도 거제시 장목면 장목리 240-93번지 1층 1동,"경상남도 거제시 장목면 거제북로 1169, 1동 1층",53201,식육(숯불구이),식육(숯불구이)
44,몽돌카츠,2018-04-19,영업/정상,0507-1421-1520,경상남도 거제시 아주동 1701-10 1층,"경상남도 거제시 아주1로3길 12, 1층 (아주동)",53305,일식,일식
45,러브런치(LuvLunch),2018-04-20,영업/정상,0507-1380-0835,경상남도 거제시 상동동 1077 거제 더샵 블루시티 118동 106호,"경상남도 거제시 상동5길 100, 118동 106호 (상동동, 거제 더샵 블루시티)",53292,기타,기타
46,패스트리디오션뷰,2018-04-24,영업/정상,0507-1383-9239,경상남도 거제시 장목면 외포리 1251-10 디오션뷰,"경상남도 거제시 장목면 옥포대첩로 536-23, 지하1층 101호 (디오션뷰)",53202,경양식,경양식
47,뚜레박,2018-04-25,영업/정상,,경상남도 거제시 동부면 산양리 895-2 2층 2동,"경상남도 거제시 동부면 거제남서로 3087, 2동 2층",53331,정종/대포집/소주방,정종/대포집/소주방
48,화미당 짬뽕 거제점,2018-04-25,영업/정상,0507-1426-6610,경상남도 거제시 고현동 421-7 동인빌라,"경상남도 거제시 거제중앙로 1807, 1층 (고현동, 동인빌라)",53258,중국식,중국식
49,모토이시 아주점,2018-04-30,영업/정상,0507-1317-2496,경상남도 거제시 아주동 1701-7 근인빌1,"경상남도 거제시 아주1로3길 6, 근인빌1 1층 (아주동)",53305,정종/대포집/소주방,정종/대포집/소주방
50,수월파스타,2018-04-30,영업/정상,0507-1302-9267,경상남도 거제시 양정동 902-14,"경상남도 거제시 제산로 46, 가이하우스 1층 102호 (양정동)",53243,경양식,경양식
